conditioning.time,treatment,leaf.type,stonefly.mass.initial,stonefly.mass.final,leaf.area.initial,leaf.area.final,Survival,growth,leaf.area.eaten
7,b,cottonwood,0.5503,0.5576,107.426,99.769,TRUE,0.0073,7.657
7,b,dogwood,0.5503,0.5576,88.736,77.846,TRUE,0.0073,10.89
7,b,dogwood,0.9891,1.0339,85.6,44.65,TRUE,0.0448,40.95
7,b,cottonwood,0.1809,0.2948,88.666,75.516,TRUE,0.1139,13.15
7,c,cottonwood,1.0351,0.9307,68.208,51.612,TRUE,-0.1044,16.596
7,c,chokecherry,1.0351,0.9307,105.952,49.17,TRUE,-0.1044,56.782
7,c,cottonwood,0.5159,0.458,93.649,78.402,TRUE,-0.0579,15.247
7,c,chokecherry,0.5159,0.458,66.9895,48.016,TRUE,-0.0579,18.9735
7,d,cottonwood,0.5452,0.4922,80.882,58.592,TRUE,-0.053,22.29
7,d,willow,0.5452,0.4922,56.3965,41.486,TRUE,-0.053,14.9105
7,e,cottonwood,0.3026,0.3145,69.5765,62.423,TRUE,0.0119,7.1535
7,e,cottonwood.stem,0.3026,0.3145,104.6775,91.881,TRUE,0.0119,12.7965
7,a,alder,NA,NA,49.442,16.127,TRUE,NA,33.315
7,a,cottonwood,NA,NA,43.741,34.185,TRUE,NA,9.556
7,a,alder,NA,NA,59.747,30.58,TRUE,NA,29.167
7,a,cottonwood,NA,NA,37.193,30.832,TRUE,NA,6.361
7,a,alder,NA,NA,39.941,15.842,TRUE,NA,24.099
7,a,cottonwoode,NA,NA,32.849,30.885,TRUE,NA,1.964
