Cup,Days until Species gone,Species,Cottonwood Occurrence,Total Occurences
Alder,10.00,,8,30
Alder,10.00,,15,30
Alder,10.00,alder,6,30
Alder,10.00,,7,30
Dogwood,4.00,both,5,12
Dogwood,6.00,dogwood,14,18
Dogwood,5.00,dogwood,12,15
Dogwood,3.00,dogwood,2,9
Chokecherry,0.00,Chokecherry,na,na
Chokecherry,6.00,Chokecherry,17,18
Chokecherry,0.00,Chokecherry,na,na
Chokecherry,7.00,Chokecherry,16,21
Willow,6.00,willow,18,18
Willow,6.00,cottonwood,13,18
Willow,6.00,willow,18,18
Willow,7.00,willow,19,21
,3.88,,,
