Cup,Leaf Available,Days Available
Alder,Other,10
Alder,Other,10
Alder,Other,9
Alder,Other,10
Alder,Cottonwood,10
Alder,Cottonwood,10
Alder,Cottonwood,10
Dogwood,Cottonwood,4
Dogwood,Cottonwood,5
Dogwood,Cottonwood,7
Dogwood,Cottonwood,7
Dogwood,Other,3
Dogwood,Other,4
Dogwood,Other,5
Dogwood,Other,6
Chokecherry,Cottonwood,5
Chokecherry,Cottonwood,5
Chokecherry,Cottonwood,7
Chokecherry,Cottonwood,10
Chokecherry,Other,1
Chokecherry,Other,1
Chokecherry,Other,5
Chokecherry,Other,6
Willow,Other,6
Willow,Other,6
Willow,Other,8
Willow,Other,9
Willow,Cottonwood,6
Willow,Cottonwood,8
Willow,Cottonwood,8
Willow,Cottonwood,10
