,1,,,2,,,3,,,4,,,5,,,6,,,7,,,8,,,9,,,10,,
,Cottonwood,Other,notes,Cottonwood,Other,notes,Cottonwood,Other,notes,Cottonwood,Other,notes,Cottonwood,Other,notes,Cottonwood,Other,notes,Cottonwood,Other,notes,Cottonwood,Other,notes,Cottonwood,Other,notes,Cottonwood,Other,notes
C-Alder 1 ,II,I,,II,I,,III,,,I,II,,,III,,II,I,,III,,,II,I,,I,II,,,III,
C-Alder 2 ,I,II,,,III,,I,II,,I,II,,III,,,I,II,,I,II,,III,,,I,II,,III,,
C-Alder 3 ,II,I,,I,II,,,III,,I,II,,I,II,,I,II,,I,II,,I,II,,III,,,I,II,
C-Alder 4 ,,III,,III,,,I,II,,III,,,I,II,,I,II,,II,I,,I,II,,II,I,,,III,
C-Dog 1 ,II,I,,,III,,,III,,I,II,,II,I,,II,I,,I,II,,II,I,,II,I,,I,II,
C-Dog 2 ,III,,,I,II,,I,II,,II,I,,III,,,II,I,,III,,,III,,,III,,,III,,
C-Dog 3 ,I,II,,II,I,,II,I,,,III,,,III,,I,II,,I,II,,I,II,,I,II,,I,II,
C-Dog 4,,III,,II,I,,III,,,II,I,,II,I,,III,,,III,,,II,I,,III,,,III,,
C-Choke 1 ,II,I,,II,I,,I,II,,III,,,II,I,,III,,,I,II,,III,,,III,,,III,,
C-Choke 2 ,III,,,III,,,III,,,III,,,III,,,III,,,III,,,III,,,III,,,III,,
C-Choke 3 ,II,I,,III,,,II,I,,III,,,III,,,III,,,III,,,III,,,II,I,,III,,
C-Choke 4 ,I,II,,III,,,III,,,II,I,,I,II,,II,I,,III,,,III,,,II,I,,II,I,
C-Willow 1 ,III,,,II,I,,III,,,III,,,III,,,III,,,III,,,I,II,,III,,,III,,
C-Willow 2 ,III,,,II,I,,II,I,,III,,,III,,,III,,,III,,,III,,,II,I,,III,,
C-Willow 3 ,II,,"no third, third added",III,,,III,,,III,,,III,,,III,,,III,,,III,,,III,,,III,,
C-Willow 4 ,III,,,III,,,III,,,III,,,III,,,III,,,III,,all willow gone,III,,,III,,,III,,
